Year,Factor,Dollar,Equivalent
1914,24.14,$100.00 ,"$2,414.32 "
1915,23.9,$101.00 ,"$2,414.32 "
1916,23.44,$103.00 ,"$2,414.32 "
1917,20.81,$116.00 ,"$2,414.32 "
1918,17.62,$137.00 ,"$2,414.32 "
1919,14.63,$165.00 ,"$2,414.32 "
1920,12.77,$189.00 ,"$2,414.32 "
1921,12.44,$194.00 ,"$2,414.32 "
1922,13.96,$173.00 ,"$2,414.32 "
1923,14.29,$169.00 ,"$2,414.32 "
1924,13.96,$173.00 ,"$2,414.32 "
1925,13.96,$173.00 ,"$2,414.32 "
1926,13.49,$179.00 ,"$2,414.32 "
1927,13.64,$177.00 ,"$2,414.32 "
1928,13.96,$173.00 ,"$2,414.32 "
1929,14.12,$171.00 ,"$2,414.32 "
1930,14.04,$172.00 ,"$2,414.32 "
1931,15,$161.00 ,"$2,414.32 "
1932,16.54,$146.00 ,"$2,414.32 "
1933,18.43,$131.00 ,"$2,414.32 "
1934,18.29,$132.00 ,"$2,414.32 "
1935,18.02,$134.00 ,"$2,414.32 "
1936,17.5,$138.00 ,"$2,414.32 "
1937,17.25,$140.00 ,"$2,414.32 "
1938,16.77,$144.00 ,"$2,414.32 "
1939,17.25,$140.00 ,"$2,414.32 "
1940,17.25,$140.00 ,"$2,414.32 "
1941,17.12,$141.00 ,"$2,414.32 "
1942,15.58,$155.00 ,"$2,414.32 "
1943,14.29,$169.00 ,"$2,414.32 "
1944,13.88,$174.00 ,"$2,414.32 "
1945,13.56,$178.00 ,"$2,414.32 "
1946,13.27,$182.00 ,"$2,414.32 "
1947,11.23,$215.00 ,"$2,414.32 "
1948,10.32,$234.00 ,"$2,414.32 "
1949,10.02,$241.00 ,"$2,414.32 "
1950,10.23,$236.00 ,"$2,414.32 "
1951,9.66,$250.00 ,"$2,414.32 "
1952,9.11,$265.00 ,"$2,414.32 "
1953,9.04,$267.00 ,"$2,414.32 "
1954,8.98,$269.00 ,"$2,414.32 "
1955,9.04,$267.00 ,"$2,414.32 "
1956,9.01,$268.00 ,"$2,414.32 "
1957,8.75,$276.00 ,"$2,414.32 "
1958,8.5,$284.00 ,"$2,414.32 "
1959,8.35,$289.00 ,"$2,414.32 "
1960,8.21,$294.00 ,"$2,414.32 "
1961,8.1,$298.00 ,"$2,414.32 "
1962,8.05,$300.00 ,"$2,414.32 "
1963,7.94,$304.00 ,"$2,414.32 "
1964,7.81,$309.00 ,"$2,414.32 "
1965,7.74,$312.00 ,"$2,414.32 "
1966,7.59,$318.00 ,"$2,414.32 "
1967,7.34,$329.00 ,"$2,414.32 "
1968,7.12,$339.00 ,"$2,414.32 "
1969,6.8,$355.00 ,"$2,414.32 "
1970,6.4,$377.00 ,"$2,414.32 "
1971,6.07,$398.00 ,"$2,414.32 "
1972,5.87,$411.00 ,"$2,414.32 "
1973,5.68,$425.00 ,"$2,414.32 "
1974,5.23,$462.00 ,"$2,414.32 "
1975,4.65,$519.00 ,"$2,414.32 "
1976,4.35,$555.00 ,"$2,414.32 "
1977,4.15,$582.00 ,"$2,414.32 "
1978,3.89,$621.00 ,"$2,414.32 "
1979,3.57,$677.00 ,"$2,414.32 "
1980,3.15,$767.00 ,"$2,414.32 "
1981,2.8,$863.00 ,"$2,414.32 "
1982,2.57,$940.00 ,"$2,414.32 "
1983,2.47,$976.00 ,"$2,414.32 "
1984,2.38,"$1,013.00 ","$2,414.32 "
1985,2.29,"$1,053.00 ","$2,414.32 "
1986,2.21,"$1,093.00 ","$2,414.32 "
1987,2.18,"$1,105.00 ","$2,414.32 "
1988,2.09,"$1,154.00 ","$2,414.32 "
1989,2,"$1,205.00 ","$2,414.32 "
1990,1.91,"$1,261.00 ","$2,414.32 "
1991,1.8,"$1,338.00 ","$2,414.32 "
1992,1.75,"$1,379.00 ","$2,414.32 "
1993,1.7,"$1,419.00 ","$2,414.32 "
1994,1.66,"$1,458.00 ","$2,414.32 "
1995,1.61,"$1,497.00 ","$2,414.32 "
1996,1.57,"$1,535.00 ","$2,414.32 "
1997,1.52,"$1,586.00 ","$2,414.32 "
1998,1.5,"$1,613.00 ","$2,414.32 "
1999,1.47,"$1,639.00 ","$2,414.32 "
2000,1.43,"$1,683.00 ","$2,414.32 "
2001,1.39,"$1,740.00 ","$2,414.32 "
2002,1.37,"$1,767.00 ","$2,414.32 "
2003,1.33,"$1,809.00 ","$2,414.32 "
2004,1.31,"$1,843.00 ","$2,414.32 "
2005,1.27,"$1,903.00 ","$2,414.32 "
2006,1.23,"$1,968.00 ","$2,414.32 "
2007,1.2,"$2,018.00 ","$2,414.32 "
2008,1.15,"$2,100.36 ","$2,414.32 "
2009,1.15,"$2,102.28 ","$2,414.32 "
2010,1.12,"$2,159.49 ","$2,414.32 "
2011,1.1,"$2,191.79 ","$2,414.32 "
2012,1.07,"$2,256.72 ","$2,414.32 "
2013,1.05,"$2,296.01 ","$2,414.32 "
2014,1.04,"$2,330.49 ","$2,414.32 "
2015,1.03,"$2,348.12 ","$2,414.32 "
2016,1.02,"$2,365.25 ","$2,414.32 "
2017,1,"$2,414.32 ","$2,414.32 "
