Team,Conference
Abilene Christian,Slnd
Air Force,MWC
Akron,MAC
Alabama,SEC
Alabama A&M,SWAC
Alabama St.,SWAC
Albany,AE
Alcorn St.,SWAC
American,Pat
Appalachian St.,SB
Arizona,P12
Arizona St.,P12
Arkansas,SEC
Arkansas Little Rock,SB
Arkansas Pine Bluff,SWAC
Arkansas St.,SB
Army,Pat
Auburn,SEC
Austin Peay,OVC
Ball St.,MAC
Baylor,B12
Belmont,OVC
Bethune Cookman,MEAC
Binghamton,AE
Boise St.,MWC
Boston College,ACC
Boston University,Pat
Bowling Green,MAC
Bradley,MVC
Brown,Ivy
Bryant,NEC
Bucknell,Pat
Buffalo,MAC
Butler,BE
BYU,WCC
Cal Poly,BW
Cal St. Bakersfield,WAC
Cal St. Fullerton,BW
Cal St. Northridge,BW
California,P12
Campbell,BSth
Canisius,MAAC
Central Arkansas,Slnd
Central Connecticut,NEC
Central Michigan,MAC
Charleston Southern,BSth
Charlotte,CUSA
Chattanooga,SC
Chicago St.,WAC
Cincinnati,Amer
Clemson,ACC
Cleveland St.,Horz
Coastal Carolina,SB
Colgate,Pat
College of Charleston,CAA
Colorado,P12
Colorado St.,MWC
Columbia,Ivy
Connecticut,Amer
Coppin St.,MEAC
Cornell,Ivy
Creighton,BE
Dartmouth,Ivy
Davidson,A10
Dayton,A10
Delaware,CAA
Delaware St.,MEAC
Denver,Sum
DePaul,BE
Detroit,Horz
Drake,MVC
Drexel,CAA
Duke,ACC
Duquesne,A10
East Carolina,Amer
East Tennessee St.,SC
Eastern Illinois,OVC
Eastern Kentucky,OVC
Eastern Michigan,MAC
Eastern Washington,BSky
Elon,CAA
Evansville,MVC
Fairfield,MAAC
Fairleigh Dickinson,NEC
FIU,CUSA
Florida,SEC
Florida A&M,MEAC
Florida Atlantic,CUSA
Florida Gulf Coast,ASun
Florida St.,ACC
Fordham,A10
Fresno St.,MWC
Furman,SC
Gardner Webb,BSth
George Mason,A10
George Washington,A10
Georgetown,BE
Georgia,SEC
Georgia Southern,SB
Georgia St.,SB
Georgia Tech,ACC
Gonzaga,WCC
Grambling St.,SWAC
Grand Canyon,WAC
Green Bay,Horz
Hampton,MEAC
Hartford,AE
Harvard,Ivy
Hawaii,BW
High Point,BSth
Hofstra,CAA
Holy Cross,Pat
Houston,Amer
Houston Baptist,Slnd
Howard,MEAC
Idaho,BSky
Idaho St.,BSky
Illinois,B10
Illinois Chicago,Horz
Illinois St.,MVC
Incarnate Word,Slnd
Indiana,B10
Indiana St.,MVC
Iona,MAAC
Iowa,B10
Iowa St.,B12
IPFW,Sum
IUPUI,Sum
Jackson St.,SWAC
Jacksonville,ASun
Jacksonville St.,OVC
James Madison,CAA
Kansas,B12
Kansas St.,B12
Kennesaw St.,ASun
Kent St.,MAC
Kentucky,SEC
La Salle,A10
Lafayette,Pat
Lamar,Slnd
Lehigh,Pat
Liberty,BSth
Lipscomb,ASun
LIU Brooklyn,NEC
Long Beach St.,BW
Longwood,BSth
Louisiana Lafayette,SB
Louisiana Monroe,SB
Louisiana Tech,CUSA
Louisville,ACC
Loyola Chicago,MVC
Loyola Marymount,WCC
Loyola MD,Pat
LSU,SEC
Maine,AE
Manhattan,MAAC
Marist,MAAC
Marquette,BE
Marshall,CUSA
Maryland,B10
Maryland Eastern Shore,MEAC
Massachusetts,A10
McNeese St.,Slnd
Memphis,Amer
Mercer,SC
Miami FL,ACC
Miami OH,MAC
Michigan,B10
Michigan St.,B10
Middle Tennessee,CUSA
Milwaukee,Horz
Minnesota,B10
Mississippi,SEC
Mississippi St.,SEC
Mississippi Valley St.,SWAC
Missouri,SEC
Missouri St.,MVC
Monmouth,MAAC
Montana,BSky
Montana St.,BSky
Morehead St.,OVC
Morgan St.,MEAC
Mount St. Mary's,NEC
Murray St.,OVC
Navy,Pat
Nebraska,B10
Nebraska Omaha,Sum
Nevada,MWC
New Hampshire,AE
New Mexico,MWC
New Mexico St.,WAC
New Orleans,Slnd
Niagara,MAAC
Nicholls St.,Slnd
NJIT,ASun
Norfolk St.,MEAC
North Carolina,ACC
North Carolina A&T,MEAC
North Carolina Central,MEAC
North Carolina St.,ACC
North Dakota,BSky
North Dakota St.,Sum
North Florida,ASun
North Texas,CUSA
Northeastern,CAA
Northern Arizona,BSky
Northern Colorado,BSky
Northern Illinois,MAC
Northern Iowa,MVC
Northern Kentucky,Horz
Northwestern,B10
Northwestern St.,Slnd
Notre Dame,ACC
Oakland,Horz
Ohio,MAC
Ohio St.,B10
Oklahoma,B12
Oklahoma St.,B12
Old Dominion,CUSA
Oral Roberts,Sum
Oregon,P12
Oregon St.,P12
Pacific,WCC
Penn,Ivy
Penn St.,B10
Pepperdine,WCC
Pittsburgh,ACC
Portland,WCC
Portland St.,BSky
Prairie View A&M,SWAC
Presbyterian,BSth
Princeton,Ivy
Providence,BE
Purdue,B10
Quinnipiac,MAAC
Radford,BSth
Rhode Island,A10
Rice,CUSA
Richmond,A10
Rider,MAAC
Robert Morris,NEC
Rutgers,B10
Sacramento St.,BSky
Sacred Heart,NEC
Saint Joseph's,A10
Saint Louis,A10
Saint Mary's,WCC
Saint Peter's,MAAC
Sam Houston St.,Slnd
Samford,SC
San Diego,WCC
San Diego St.,MWC
San Francisco,WCC
San Jose St.,MWC
Santa Clara,WCC
Savannah St.,MEAC
Seattle,WAC
Seton Hall,BE
Siena,MAAC
SIU Edwardsville,OVC
SMU,Amer
South Alabama,SB
South Carolina,SEC
South Carolina St.,MEAC
South Dakota,Sum
South Dakota St.,Sum
South Florida,Amer
Southeast Missouri St.,OVC
Southeastern Louisiana,Slnd
Southern,SWAC
Southern Illinois,MVC
Southern Miss,CUSA
Southern Utah,BSky
St. Bonaventure,A10
St. Francis NY,NEC
St. Francis PA,NEC
St. John's,BE
Stanford,P12
Stephen F. Austin,Slnd
Stetson,ASun
Stony Brook,AE
Syracuse,ACC
TCU,B12
Temple,Amer
Tennessee,SEC
Tennessee Martin,OVC
Tennessee St.,OVC
Tennessee Tech,OVC
Texas,B12
Texas A&M,SEC
Texas A&M Corpus Chris,Slnd
Texas Southern,SWAC
Texas St.,SB
Texas Tech,B12
The Citadel,SC
Toledo,MAC
Towson,CAA
Troy,SB
Tulane,Amer
Tulsa,Amer
UAB,CUSA
UC Davis,BW
UC Irvine,BW
UC Riverside,BW
UC Santa Barbara,BW
UCF,Amer
UCLA,P12
UMass Lowell,AE
UMBC,AE
UMKC,WAC
UNC Asheville,BSth
UNC Greensboro,SC
UNC Wilmington,CAA
UNLV,MWC
USC,P12
USC Upstate,ASun
UT Arlington,SB
UT Rio Grande Valley,WAC
Utah,P12
Utah St.,MWC
Utah Valley,WAC
UTEP,CUSA
UTSA,CUSA
Valparaiso,Horz
Vanderbilt,SEC
VCU,A10
Vermont,AE
Villanova,BE
Virginia,ACC
Virginia Tech,ACC
VMI,SC
Wagner,NEC
Wake Forest,ACC
Washington,P12
Washington St.,P12
Weber St.,BSky
West Virginia,B12
Western Carolina,SC
Western Illinois,Sum
Western Kentucky,CUSA
Western Michigan,MAC
Wichita St.,MVC
William & Mary,CAA
Winthrop,BSth
Wisconsin,B10
Wofford,SC
Wright St.,Horz
Wyoming,MWC
Xavier,BE
Yale,Ivy
Youngstown St.,Horz
